127.0.0.1 - - [27/Nov/2017:11:33:30 +0100] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:33:56 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:33:56 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:34:01 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:34:06 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:34:11 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:34:16 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:34:21 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:34:26 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:36:17 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:36:17 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:36:22 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:36:27 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:36:32 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:11:36:38 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [27/Nov/2017:13:30:51 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:13:30:51 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:13:30:56 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:13:31:02 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:22:42 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:22:42 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:22:47 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:22:52 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:22:57 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:23:02 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:23:07 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:23:12 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:23:17 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:23:19 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:23:19 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:23:24 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:23:30 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:25:32 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:25:32 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:25:38 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:25:43 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:25:48 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:30:41 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:30:41 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:30:46 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:30:51 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:14:30:57 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:22:38 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:22:38 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:22:43 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:22:48 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:22:53 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:22:58 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:23:04 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:32:30 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:32:30 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:32:35 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:32:40 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:36:13 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [27/Nov/2017:19:36:13 +0100] "POST /cardioSHARE/query HTTP/1.1" 200 4
